Column_Name,Data_Type,Missing_Values
utc_timestamp,object,0
GB_GBN_load_actual_entsoe_transparency,float64,7
GB_GBN_load_forecast_entsoe_transparency,float64,121
GB_GBN_price_day_ahead,float64,111
GB_GBN_solar_capacity,float64,6600
GB_GBN_solar_generation_actual,float64,55
GB_GBN_solar_profile,float64,6649
GB_GBN_wind_capacity,float64,6600
GB_GBN_wind_generation_actual,float64,41
GB_GBN_wind_profile,float64,6641
GB_GBN_wind_offshore_capacity,float64,6600
GB_GBN_wind_offshore_generation_actual,float64,41
GB_GBN_wind_offshore_profile,float64,6641
GB_GBN_wind_onshore_capacity,float64,6600
GB_GBN_wind_onshore_generation_actual,float64,41
GB_GBN_wind_onshore_profile,float64,6641
GB_NIR_load_actual_entsoe_transparency,float64,219
GB_NIR_load_forecast_entsoe_transparency,float64,816
GB_NIR_solar_capacity,float64,10104
GB_NIR_wind_onshore_capacity,float64,6600
GB_NIR_wind_onshore_generation_actual,float64,86
GB_UKM_load_actual_entsoe_transparency,float64,176
GB_UKM_load_forecast_entsoe_transparency,float64,888
GB_UKM_solar_capacity,float64,6600
GB_UKM_solar_generation_actual,float64,55
GB_UKM_wind_capacity,float64,6600
GB_UKM_wind_generation_actual,float64,129
GB_UKM_wind_offshore_capacity,float64,6600
GB_UKM_wind_offshore_generation_actual,float64,41
GB_UKM_wind_onshore_capacity,float64,6600
GB_UKM_wind_onshore_generation_actual,float64,128
